10:59:50.684 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1175417 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/db2/DBROWST2/DBROWST2/target/DBROWST2-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/db2/DBROWST2/DBROWST2)
10:59:50.695 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
10:59:53.012 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus 165 - CFDataSourceConfiguration initialization status...
10:59:53.014 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus 172 - Databse Datasource initialized.
10:59:53.201 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 3.562 seconds (process running for 4.954)
10:59:53.211 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
10:59:53.499 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 109 - HikariPool-1 - Starting...
10:59:53.925 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast 554 - HikariPool-1 - Added connection com.ibm.db2.jcc.t4.b@3a37a501
10:59:53.930 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 122 - HikariPool-1 - Start completed.
10:59:54.132 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0018294154 ** B012877  ** PSPN.S    
10:59:54.132 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0021607004 ** B09G2Y6  ** BKWN.S    
10:59:54.132 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0021783391 ** B0CDLF8  ** PARG.S    
10:59:54.136 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0024608827 ** B119QG0  ** PGHN.S    
10:59:54.136 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0024638196 ** B11TCY0  ** SCHP.S    
10:59:54.136 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0024899483 ** B18YFJ4  ** UBSN.VX   
10:59:54.137 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0025238863 ** B142S60  ** KNIN.VX   
10:59:54.137 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0025751329 ** B18ZRK2  ** LOGN.VX   
10:59:54.137 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0027752242 ** B1HH936  ** PPHN.VX   
10:59:54.137 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0030170408 ** B1WGG93  ** GEBN.VX   
10:59:54.137 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0034389707 ** 4606523  ** ALPH.S    
10:59:54.138 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0037851646 ** 7385722  ** NOBN.VX   
10:59:54.138 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0038388911 ** 4854719  ** SUN.S     
10:59:54.138 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0038389992 ** 7117884  ** BION.S    
10:59:54.138 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0038863350 ** 7123870  ** NESN.VX   
10:59:54.139 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0043238366 ** B39VJC9  ** ARYN.S    
10:59:54.139 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0045039655 ** B3DCZF3  ** CFR.VX    
10:59:54.139 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0102484968 ** B4R2R50  ** BAER.VX   
10:59:54.139 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0102659627 ** B1WHVV3  ** GAMH.VX   
10:59:54.139 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CY0100470919 ** B1L9DW5  ** PRSO.OL   
10:59:54.140 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE000A0CAYB2 ** B012VF6  ** WING.DE   
10:59:54.140 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE000A0D9PT0 ** B09DHL9  ** MTXGn.DE  
10:59:54.140 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE000A0N4P43 ** B1Z3JV4  ** TGMG.DE   
10:59:54.140 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE000A0WMPJ6 ** 5468346  ** AIXGn.DE  
10:59:54.141 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE000BAY0017 ** 5069211  ** BAYGn.DE  
10:59:54.141 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE000CLS1001 ** 5105182  ** CLSGn.DE  
10:59:54.141 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE000ENAG999 ** 4942904  ** EONGn.DE  
10:59:54.141 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE000PAH0038 ** 7101069  ** PSHG_p.DE 
10:59:54.142 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE000SYM9999 ** B1JB4K8  ** SY1G.DE   
10:59:54.142 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE000WCH8881 ** B11Y568  ** WCHG.DE   
10:59:54.142 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE0003304002 ** 4755135  ** SOWG.DE   
10:59:54.142 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE0005003404 ** 4031976  ** ADSG.DE   
10:59:54.142 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - DE0005089031 ** 4354134  ** UTDI.DE   
10:59:54.162 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close 349 - HikariPool-1 - Shutdown initiated...
10:59:54.166 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close 351 - HikariPool-1 - Shutdown completed.
