   _____   _                       _   ______                                       
  / ____| | |                     | | |  ____|                                     
 | |      | |   ___    _   _    __| | | |__     _ __    __ _   _ __ ___     ___    
 | |      | |  / _ \  | | | |  / _` | |  __|   | '__|  / _` | | '_ ` _ \   / _ \
 | |____  | | | (_) | | |_| | | (_| | | |      | |    | (_| | | | | | | | |  __/
  \_____| |_|  \___/   \__,_|  \__,_| |_|      |_|     \__,_| |_| |_| |_|  \___|

16:43:57.319 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 2522117 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02/target/CFDATE02-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02)
16:44:00.010 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19941019
16:44:00.011 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19940719
16:44:00.011 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19940418
16:44:00.011 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19940116
16:44:00.012 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19931016
16:44:00.012 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19930716
16:44:00.012 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19930415
16:44:00.012 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19930113
16:44:00.013 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19921013
16:44:00.013 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19920713
16:44:00.013 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19920412
16:44:00.014 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19920111
16:44:00.014 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19911011
16:44:00.014 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19910711
16:44:00.015 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19910410
16:44:00.015 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19910108
16:44:00.015 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19901008
16:44:00.015 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19900708
16:44:00.016 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19900407
16:44:00.016 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19900105
16:44:00.016 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19891005
16:44:00.017 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19890705
16:44:00.017 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19890404
16:44:00.017 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19890102
